Year,Acres of Fire,Annual Avg Temp,Avg July Temp
1987,"873,000",58.3,85.2
1988,"345,000",58.8,92.7
1989,"173,400",58.1,90.8
1990,"365,200",58,90.8
1991,"44,200",58.1,90.1
1992,"282,745",59.3,87.7
1993,"309,779",57.7,86.5
1994,"526,219",58,91.5
1995,"209,815",58.9,88.8
1996,"752,372",59.6,93
1997,"283,885",59.1,88.8
1998,"215,412",56.7,90.7
1999,"1,172,850",58,88.1
2000,"295,026",58.8,88.5
2001,"377,340",59.1,88.8
2002,"538,216",58.8,92.6
2003,"965,770",59.4,93.8
2004,"311,024",58.9,91
2005,"279,214",58.6,93.5
2006,"863,345",58.6,94.2
2007,"1,520,362",58.9,91.8
2008,"1,593,690",58.9,91.4
2009,"451,969",58.8,93
2010,"134,462",57.7,91
2011,"228,599",57.4,88.4
2012,"829,224",59.5,89.6
2013,"601,635",59.3,92.7
2014,"625,540",61.4,92.7
2015,"880,899",60.8,88.5
2016,"669,534",60.1,91.9
2017,"1,548,429",60.3,93.7
2018,"1,975,086",60.1,94
